created_da,created_us,global_id,idpct,idpct_txt,last_edi_1,last_edite,name,name_tmp,num,objectid,shape_area,shape_len,town_no
1899-11-30T00:00:00.000Z,,{52107774-2FE3-463C-87BE-B0C4CA6BCA4F},9904004,9904004,1899-11-30T00:00:00.000Z,,BERWYN,TOWN OF BERWYN,4-4,25,2437599.22646,11323.4582058,99
1899-11-30T00:00:00.000Z,,{94D2E5A1-F721-4066-A17E-6DBB23096D9A},9907002,9907002,1899-11-30T00:00:00.000Z,,BERWYN,TOWN OF BERWYN,7-2,26,6251566.2728,13252.206873,99
1899-11-30T00:00:00.000Z,,{6F65B82E-F70E-4659-8ED8-0416D08ED44E},9904003,9904003,1899-11-30T00:00:00.000Z,,BERWYN,TOWN OF BERWYN,4-3,27,3780455.01199,10006.2017091,99
1899-11-30T00:00:00.000Z,,{D30F20CD-56C2-4802-9236-53B8C27D0B94},9903004,9903004,1899-11-30T00:00:00.000Z,,BERWYN,TOWN OF BERWYN,3-4,28,3093263.45908,9206.11285945,99
1899-11-30T00:00:00.000Z,,{B03A713B-4BF7-434F-900A-952C81DFCC00},9905003,9905003,1899-11-30T00:00:00.000Z,,BERWYN,TOWN OF BERWYN,5-3,29,2661768.06855,7331.26569754,99
1899-11-30T00:00:00.000Z,,{8AC636DF-90A0-477A-9FF6-1DE16C1C15F9},9904002,9904002,1899-11-30T00:00:00.000Z,,BERWYN,TOWN OF BERWYN,4-2,30,3340656.54292,9350.16844673,99
1899-11-30T00:00:00.000Z,,{AB0EF3CA-EBF2-4AB0-A9B7-B16243E31E5F},9903002,9903002,1899-11-30T00:00:00.000Z,,BERWYN,TOWN OF BERWYN,3-2,31,3010042.3481,8836.60099481,99
1899-11-30T00:00:00.000Z,,{F00A6091-A0AB-4DCA-9944-BE9EE6FDF2A7},9903005,9903005,1899-11-30T00:00:00.000Z,,BERWYN,TOWN OF BERWYN,3-5,32,4114641.49255,8976.92654694,99
1899-11-30T00:00:00.000Z,,{EBF17A44-12E6-4042-AFCB-4C294A1AF5B8},9904001,9904001,1899-11-30T00:00:00.000Z,,BERWYN,TOWN OF BERWYN,4-1,33,3571294.08274,13121.7420983,99
1899-11-30T00:00:00.000Z,,{32314361-488E-4963-B9B9-4CFD52C4A5F1},9902001,9902001,1899-11-30T00:00:00.000Z,,BERWYN,TOWN OF BERWYN,2-1,34,4200698.93594,11392.1720535,99
1899-11-30T00:00:00.000Z,,{35C02784-8A83-408B-AB6E-A85E452D4A80},9901004,9901004,1899-11-30T00:00:00.000Z,,BERWYN,TOWN OF BERWYN,1-4,35,2963127.32935,9630.16519639,99
1899-11-30T00:00:00.000Z,,{46729F6A-12FA-4C8C-B1F2-AAB60927118A},9901001,9901001,1899-11-30T00:00:00.000Z,,BERWYN,TOWN OF BERWYN,1-1,36,3400754.3559,8018.64621304,99
1899-11-30T00:00:00.000Z,,{E60F2E2A-7F0C-4C18-AD0B-AAD1EC9B711D},9901005,9901005,1899-11-30T00:00:00.000Z,,BERWYN,TOWN OF BERWYN,1-5,37,2695124.23368,8120.58957523,99
1899-11-30T00:00:00.000Z,,{EECDBE59-1EB9-40BA-8413-9259676A43B7},9901002,9901002,1899-11-30T00:00:00.000Z,,BERWYN,TOWN OF BERWYN,1-2,38,3585570.02637,8040.55684185,99
1899-11-30T00:00:00.000Z,,{C7DB6D1F-DF0D-43EC-8D5B-87EFA66CEA82},9905002,9905002,1899-11-30T00:00:00.000Z,,BERWYN,TOWN OF BERWYN,5-2,39,2676709.63051,6675.93687315,99
1899-11-30T00:00:00.000Z,,{4E4DF2C4-3E26-4617-AC71-6AE68895CD04},9902004,9902004,1899-11-30T00:00:00.000Z,,BERWYN,TOWN OF BERWYN,2-4,40,6376361.68233,11378.5551035,99
1899-11-30T00:00:00.000Z,,{A0CFC57C-3EF9-4BBB-A111-1780C9D929EA},9901003,9901003,1899-11-30T00:00:00.000Z,,BERWYN,TOWN OF BERWYN,1-3,41,4204604.35347,8527.11437131,99
1899-11-30T00:00:00.000Z,,{6F5A401C-BCAD-45CE-AE25-2E64B1B64586},9902003,9902003,1899-11-30T00:00:00.000Z,,BERWYN,TOWN OF BERWYN,2-3,42,3662284.04371,10192.0316342,99
1899-11-30T00:00:00.000Z,,{75F204D7-7064-4477-BE0A-D4D02185DC13},9902002,9902002,1899-11-30T00:00:00.000Z,,BERWYN,TOWN OF BERWYN,2-2,43,3095498.44471,7961.55557872,99
1899-11-30T00:00:00.000Z,,{30AD87C4-4C8D-45F5-9BC4-ABED096C2446},7100001,7100001,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,1,44,10307747.6413,23355.7416306,71
1899-11-30T00:00:00.000Z,,{DEC56FB0-67B6-4724-8159-15F5349084A2},7100020,7100020,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,20,45,5861351.8491,12154.2825809,71
1899-11-30T00:00:00.000Z,,{B862DE75-FFD1-4F46-8E4C-A11E8F60E10E},7100033,7100033,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,33,46,3746450.22652,8305.09883832,71
1899-11-30T00:00:00.000Z,,{A7472B47-4C73-4CE9-BCF9-895845C32E48},7100048,7100048,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,48,47,3344850.21928,9972.56990815,71
1899-11-30T00:00:00.000Z,,{A9509B33-3941-4315-97EF-D8507D48E71B},7100045,7100045,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,45,48,18451155.9954,18734.6577605,71
1899-11-30T00:00:00.000Z,,{B95756EE-0CA2-4B71-9873-26368C58BA63},7100030,7100030,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,30,49,6506932.71024,11794.6355254,71
1899-11-30T00:00:00.000Z,,{19DDD419-E222-4CAB-A2FE-DD2D4476E8CA},7100024,7100024,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,24,50,19354579.9232,20029.2576381,71
1899-11-30T00:00:00.000Z,,{C33764CD-C6CA-4049-A8AD-9358500A298F},7100058,7100058,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,58,51,12402529.7301,18663.3821624,71
1899-11-30T00:00:00.000Z,,{7322D000-621B-4553-B3AC-A452E32F5ED5},7100019,7100019,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,19,52,7233330.6956,15673.9061491,71
1899-11-30T00:00:00.000Z,,{42FD5318-E87E-46AB-9D37-2FED318763E0},7100034,7100034,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,34,53,5552409.91205,13129.1113364,71
1899-11-30T00:00:00.000Z,,{7EC3AF03-6F95-4BF0-B019-C8026C6E90DA},7100042,7100042,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,42,54,18236265.8605,28994.3753261,71
1899-11-30T00:00:00.000Z,,{B5C7C3BE-2CB3-44DE-A746-FB36D80BB8AD},7100059,7100059,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,59,56,3624886.6293,10137.9223935,71
1899-11-30T00:00:00.000Z,,{4A9F12B6-779E-4D2F-B1C2-AF5BB783A971},7100057,7100057,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,57,57,6306254.4344,12047.6593364,71
1899-11-30T00:00:00.000Z,,{53DE9DB2-558A-4BFA-AAAD-DE74F61B7829},7100050,7100050,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,50,58,15075601.5728,17092.0975247,71
1899-11-30T00:00:00.000Z,,{AAAF84B4-B783-45D3-A3C2-F614420D709E},7100047,7100047,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,47,59,7976203.64524,15501.4300566,71
1899-11-30T00:00:00.000Z,,{3D222688-37F0-4845-B8B5-D03574B3C95F},7100040,7100040,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,40,60,3624639.48404,8347.0621235,71
1899-11-30T00:00:00.000Z,,{AEE4A662-5FBD-4D10-88C1-DFE5589CE866},7100055,7100055,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,55,61,17366696.511,28481.8988419,71
